RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,class
VH,H,VH,VL,VL,VL,M,zero,zero,building_float
M,H,H,M,M,L,VL,zero,zero,building_float
VL,H,H,H,H,L,VL,zero,zero,building_float
M,M,VH,L,L,M,L,zero,zero,building_float
M,M,H,L,H,M,VL,zero,zero,building_float
VL,VL,H,H,H,VH,VL,zero,VH,building_float
M,M,H,VL,H,H,L,zero,zero,building_float
M,L,H,VL,VH,M,L,zero,zero,building_float
H,VH,H,M,VL,M,L,zero,zero,building_float
M,L,H,M,H,M,L,zero,M,building_float
VL,VL,M,H,VH,VH,VL,zero,H,building_float
M,VL,VH,L,H,H,M,zero,zero,building_float
VL,L,M,M,VH,VH,VL,zero,H,building_float
M,L,H,L,VH,M,L,zero,H,building_float
M,VL,H,M,VH,H,M,zero,zero,building_float
M,VL,H,L,VH,H,L,zero,zero,building_float
M,VL,VH,L,H,H,M,zero,zero,building_float
VH,VH,VH,VL,VL,L,H,zero,zero,building_float
H,H,VH,L,L,VL,H,zero,zero,building_float
M,L,H,H,M,M,L,zero,L,building_float
M,VL,H,H,M,M,M,zero,H,building_float
H,VH,VH,VL,VL,VL,H,zero,zero,building_float
M,VL,H,L,M,H,M,zero,zero,building_float
M,VL,H,M,H,H,M,zero,zero,building_float
L,M,M,L,M,M,L,zero,zero,building_float
M,L,H,L,H,VH,M,zero,zero,building_float
M,M,M,M,L,H,L,zero,zero,building_float
L,L,M,M,H,M,L,zero,zero,building_float
M,VL,M,M,H,M,M,zero,zero,building_float
M,L,M,L,M,H,M,zero,zero,building_float
M,VL,H,M,H,H,M,zero,M,building_float
M,VL,M,VL,VH,M,M,zero,zero,building_float
M,VL,M,L,H,H,M,L,H,building_float
M,VL,M,M,VH,H,M,zero,L,building_float
M,VL,H,M,H,M,M,zero,zero,building_float
VL,M,M,L,M,M,M,zero,zero,building_float
H,H,M,M,VL,M,M,L,zero,building_float
M,VL,M,M,H,VH,M,zero,zero,building_float
VH,VH,VH,VL,VL,L,H,zero,zero,building_float
