sepal_length,sepal_width,petal_length,petal_width,class
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Wide,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Wide,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Medium,Wide,Short,Thin,Iris-setosa
Medium,Wide,Short,Thin,Iris-setosa
Short,Wide,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Medium,Wide,Short,Thin,Iris-setosa
Short,Wide,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Wide,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Wide,Short,Thin,Iris-setosa
Short,Wide,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Narrow,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Wide,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Wide,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Short,Wide,Short,Thin,Iris-setosa
Short,Medium,Short,Thin,Iris-setosa
Long,Medium,Medium,Medium,Iris-versicolor
Medium,Medium,Medium,Medium,Iris-versicolor
Long,Medium,Medium,Medium,Iris-versicolor
Short,Narrow,Medium,Medium,Iris-versicolor
Medium,Narrow,Medium,Medium,Iris-versicolor
Medium,Narrow,Medium,Medium,Iris-versicolor
Medium,Medium,Medium,Medium,Iris-versicolor
Short,Narrow,Medium,Medium,Iris-versicolor
Medium,Medium,Medium,Medium,Iris-versicolor
Short,Narrow,Medium,Medium,Iris-versicolor
Short,Narrow,Medium,Medium,Iris-versicolor
Medium,Medium,Medium,Medium,Iris-versicolor
Medium,Narrow,Medium,Medium,Iris-versicolor
Medium,Medium,Medium,Medium,Iris-versicolor
Medium,Medium,Medium,Medium,Iris-versicolor
Medium,Medium,Medium,Medium,Iris-versicolor
Medium,Medium,Medium,Medium,Iris-versicolor
Medium,Narrow,Medium,Medium,Iris-versicolor
Medium,Narrow,Medium,Medium,Iris-versicolor
Medium,Narrow,Medium,Medium,Iris-versicolor
Medium,Medium,Medium,Wide,Iris-versicolor
Medium,Narrow,Medium,Medium,Iris-versicolor
Medium,Narrow,Medium,Medium,Iris-versicolor
Medium,Narrow,Medium,Medium,Iris-versicolor
Medium,Medium,Medium,Medium,Iris-versicolor
Medium,Medium,Medium,Medium,Iris-versicolor
Long,Narrow,Medium,Medium,Iris-versicolor
Medium,Medium,Medium,Medium,Iris-versicolor
Medium,Medium,Medium,Medium,Iris-versicolor
Medium,Narrow,Medium,Medium,Iris-versicolor
Short,Narrow,Medium,Medium,Iris-versicolor
Short,Narrow,Medium,Medium,Iris-versicolor
Medium,Narrow,Medium,Medium,Iris-versicolor
Medium,Narrow,Long,Medium,Iris-versicolor
Short,Medium,Medium,Medium,Iris-versicolor
Medium,Medium,Medium,Medium,Iris-versicolor
Medium,Medium,Medium,Medium,Iris-versicolor
Medium,Narrow,Medium,Medium,Iris-versicolor
Medium,Medium,Medium,Medium,Iris-versicolor
Short,Narrow,Medium,Medium,Iris-versicolor
Short,Narrow,Medium,Medium,Iris-versicolor
Medium,Medium,Medium,Medium,Iris-versicolor
Medium,Narrow,Medium,Medium,Iris-versicolor
Short,Narrow,Medium,Medium,Iris-versicolor
Medium,Narrow,Medium,Medium,Iris-versicolor
Medium,Medium,Medium,Medium,Iris-versicolor
Medium,Medium,Medium,Medium,Iris-versicolor
Medium,Medium,Medium,Medium,Iris-versicolor
Short,Narrow,Short,Medium,Iris-versicolor
Medium,Narrow,Medium,Medium,Iris-versicolor
Medium,Medium,Long,Wide,Iris-virginica
Medium,Narrow,Long,Wide,Iris-virginica
Long,Medium,Long,Wide,Iris-virginica
Medium,Medium,Long,Wide,Iris-virginica
Medium,Medium,Long,Wide,Iris-virginica
Long,Medium,Long,Wide,Iris-virginica
Short,Narrow,Medium,Medium,Iris-virginica
Long,Medium,Long,Wide,Iris-virginica
Medium,Narrow,Long,Wide,Iris-virginica
Long,Medium,Long,Wide,Iris-virginica
Medium,Medium,Long,Wide,Iris-virginica
Medium,Narrow,Long,Wide,Iris-virginica
Long,Medium,Long,Wide,Iris-virginica
Medium,Narrow,Medium,Wide,Iris-virginica
Medium,Narrow,Long,Wide,Iris-virginica
Medium,Medium,Long,Wide,Iris-virginica
Medium,Medium,Long,Wide,Iris-virginica
Long,Wide,Long,Wide,Iris-virginica
Long,Narrow,Long,Wide,Iris-virginica
Medium,Narrow,Medium,Medium,Iris-virginica
Long,Medium,Long,Wide,Iris-virginica
Medium,Narrow,Medium,Wide,Iris-virginica
Long,Narrow,Long,Wide,Iris-virginica
Medium,Narrow,Medium,Wide,Iris-virginica
Medium,Medium,Long,Wide,Iris-virginica
Long,Medium,Long,Wide,Iris-virginica
Medium,Narrow,Medium,Wide,Iris-virginica
Medium,Medium,Medium,Wide,Iris-virginica
Medium,Narrow,Long,Wide,Iris-virginica
Long,Medium,Long,Medium,Iris-virginica
Long,Narrow,Long,Wide,Iris-virginica
Long,Wide,Long,Wide,Iris-virginica
Medium,Narrow,Long,Wide,Iris-virginica
Medium,Narrow,Long,Medium,Iris-virginica
Medium,Narrow,Long,Medium,Iris-virginica
Long,Medium,Long,Wide,Iris-virginica
Medium,Medium,Long,Wide,Iris-virginica
Medium,Medium,Long,Wide,Iris-virginica
Medium,Medium,Medium,Wide,Iris-virginica
Long,Medium,Long,Wide,Iris-virginica
Medium,Medium,Long,Wide,Iris-virginica
Long,Medium,Long,Wide,Iris-virginica
Medium,Narrow,Long,Wide,Iris-virginica
Long,Medium,Long,Wide,Iris-virginica
Medium,Medium,Long,Wide,Iris-virginica
Medium,Medium,Long,Wide,Iris-virginica
Medium,Narrow,Medium,Wide,Iris-virginica
Medium,Medium,Long,Wide,Iris-virginica
Medium,Medium,Long,Wide,Iris-virginica
Medium,Medium,Long,Wide,Iris-virginica
