attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,class
VL,VL,VL,VL,L,M,L,VL,VL,VL,VL,H,M,VH,VH,H,VH,VH,H,M,L,class_2
L,VH,M,H,H,H,VH,VH,M,L,M,VL,L,L,L,VL,M,H,VH,M,VH,class_1
M,VL,H,VH,H,H,VH,H,L,L,VL,VL,M,VL,L,H,L,M,L,VL,M,class_0
H,M,VH,L,M,H,M,VH,VH,VH,H,H,M,L,L,M,M,VL,VH,VL,VH,class_1
VH,M,M,VL,H,L,M,H,VH,H,H,VH,VH,L,L,VL,VL,L,L,VL,L,class_1
M,H,H,L,VL,L,L,L,M,VH,VH,H,VH,M,M,H,VL,M,M,VL,H,class_2
VH,H,VL,H,M,H,H,M,H,VH,VH,M,VH,M,VL,M,L,M,L,L,H,class_1
M,VL,VL,L,VL,VL,L,VL,L,L,M,H,M,VH,VH,M,M,VL,VL,M,L,class_2
VL,VL,VL,L,L,L,VL,L,L,L,H,VH,H,H,H,VH,VH,H,VH,M,M,class_2
L,H,VL,H,L,L,L,H,M,VH,VH,VH,VL,H,L,VL,L,VL,VL,M,VH,class_2
M,VL,H,VH,VH,H,H,VH,L,H,M,M,VL,VL,H,M,VL,L,VL,L,VL,class_0
VH,L,VL,VH,VH,VH,VH,H,L,L,M,VL,L,L,VL,VL,L,H,H,VL,H,class_0
VL,VH,H,VH,VH,H,H,H,M,H,L,L,VL,VL,M,VL,L,VL,M,M,L,class_1
VL,M,H,VH,H,H,VH,VH,VH,L,L,M,L,VL,VL,VL,L,M,L,L,H,class_1
VH,M,VL,M,M,VL,M,L,L,L,H,H,M,L,M,H,M,H,VH,VL,M,class_2
L,L,M,VL,L,H,VL,L,VL,VL,VL,L,L,VH,H,VH,VH,L,M,VH,H,class_0
VH,VL,VL,M,L,M,M,M,VL,L,H,VH,VH,M,H,H,H,VH,VL,L,VL,class_2
M,VH,VL,L,L,VL,L,M,H,L,VH,VH,L,M,M,M,L,H,H,VH,H,class_2
VL,L,VL,H,L,M,L,VL,VL,VL,L,L,M,VH,VH,VH,VH,VH,H,H,VL,class_0
VL,L,L,VL,M,M,L,H,L,VH,H,VH,L,L,VL,M,H,VL,VL,L,VL,class_1
VL,VL,M,VL,VL,M,VL,VL,VL,VL,VL,L,VH,VH,VH,VH,VH,VH,VH,VH,M,class_2
VH,H,VL,VL,L,L,VL,VL,VL,VL,L,L,M,M,VH,VH,VH,VH,M,VH,L,class_0
H,L,VL,VL,VL,VL,VL,VL,H,H,M,H,VH,VH,VH,VH,H,VH,H,L,L,class_2
VL,VH,VH,H,VH,VH,H,H,VH,VH,M,L,L,VL,VL,L,VL,VL,VL,VH,M,class_1
H,H,L,VL,L,VL,VL,VL,M,M,H,H,H,H,H,M,H,M,H,H,VH,class_2
VL,M,L,VL,VH,L,H,VH,VL,L,L,M,M,M,H,H,M,M,H,L,L,class_0
H,M,M,H,M,H,M,H,VL,M,VL,VL,H,M,M,VL,M,L,VH,H,L,class_0
VH,L,H,L,L,H,H,VH,VH,H,VH,L,M,L,L,L,M,L,VL,M,M,class_1
VL,H,L,M,L,VL,VL,L,M,L,H,M,VH,H,H,H,L,VH,M,VH,H,class_2
VH,M,H,M,H,M,L,H,VH,VH,H,VH,M,VL,L,L,VL,L,H,L,VL,class_1
L,L,VL,VL,L,M,H,M,VH,VH,VH,M,VH,VH,L,L,L,M,VL,VL,L,class_2
L,M,VH,VH,VH,VH,VH,H,H,L,VL,L,VL,VL,VL,VL,L,L,VL,VH,H,class_0
