dataset,records,classes,minSupPct,accuracy,accStd,macroF1,macroF1Std,weightedF1
breast-w,699,2,0.02,0.9499,0.0206,0.9444,0.0228,0.9499
cleve,303,2,0.02,0.8252,0.0598,0.8238,0.0608,0.8250
crx,690,2,0.04,0.8626,0.0470,0.8616,0.0477,0.8627
diabetes,768,2,0.03,0.7513,0.0502,0.7330,0.0565,0.7541
german,1000,2,0.06,0.7420,0.0469,0.6639,0.0668,0.7287
glass,214,6,0.01,0.6611,0.1090,0.6113,0.1280,0.6582
heart,270,2,0.03,0.8444,0.0491,0.8425,0.0498,0.8444
hepatitis,155,2,0.05,0.8181,0.0828,0.7363,0.1335,0.8232
horse,368,2,0.03,0.8153,0.0356,0.8065,0.0323,0.8172
iris,150,3,0.03,0.9533,0.0521,0.9532,0.0540,0.9532
labor,57,2,0.05,0.8433,0.0539,0.8389,0.0545,0.8457
led7,200,10,0.03,0.7303,0.0823,0.7119,0.0795,0.7062
lymph,148,4,0.05,0.8346,0.0831,0.4235,0.2072,0.8146
mushroom,8124,2,0.15,0.9807,0.0047,0.9806,0.0047,0.9807
sonar,208,2,0.05,0.8252,0.0770,0.8263,0.0766,0.8270
tic-tac-toe,958,2,0.003,0.9729,0.0148,0.9700,0.0162,0.9729
vehicle,846,4,0.03,0.6783,0.0300,0.6477,0.0364,0.6462
waveform,5000,3,0.01,0.8390,0.0111,0.8383,0.0112,0.8384
wine,178,3,0.03,0.9552,0.0335,0.9559,0.0334,0.9547
zoo,101,7,0.03,0.9573,0.0569,0.8972,0.1122,0.9490
