dataset,records,classes,minSupPct,accuracy,accStd,macroF1,macroF1Std,weightedF1
breast-w,,2,0.02,0.9499,0.0206,0.9444,0.0228,0.9499
cleve,,2,0.02,0.8252,0.0598,0.8238,0.0608,0.8250
crx,,2,0.04,0.8626,0.0470,0.8616,0.0477,0.8627
diabetes,,2,0.03,0.7513,0.0502,0.7330,0.0565,0.7541
german,,2,0.06,0.7420,0.0469,0.6639,0.0668,0.7287
glass,,6,0.01,0.6611,0.1090,0.6113,0.1280,0.6582
heart,,2,0.03,0.8444,0.0491,0.8425,0.0498,0.8444
hepatitis,,2,0.05,0.8181,0.0828,0.7363,0.1335,0.8232
horse,,2,0.03,0.8153,0.0356,0.8065,0.0323,0.8172
iris,,3,0.03,0.9533,0.0521,0.9532,0.0540,0.9532
labor,,2,0.05,0.8433,0.0539,0.8389,0.0545,0.8457
led7,,10,0.03,0.7303,0.0823,0.7119,0.0795,0.7062
lymph,,4,0.05,0.8346,0.0831,0.4235,0.2072,0.8146
mushroom,,2,0.15,0.9807,0.0047,0.9806,0.0047,0.9807
sonar,,2,0.05,0.8252,0.0770,0.8263,0.0766,0.8270
tic-tac-toe,,2,0.003,0.9729,0.0148,0.9700,0.0162,0.9729
vehicle,,4,0.03,0.6795,0.0303,0.6493,0.0369,0.6478
waveform,,3,0.01,0.8390,0.0111,0.8383,0.0112,0.8384
wine,,3,0.03,0.9552,0.0335,0.9559,0.0334,0.9547
zoo,,7,0.03,0.9573,0.0569,0.8972,0.1122,0.9490
