dataset,class,support,tp,fp,fn,precision,recall,f1
breast-w,benign,458,442,19,16,0.9588,0.9651,0.9619
breast-w,malignant,241,222,16,19,0.9328,0.9212,0.9269
cleve,healthy,164,138,27,26,0.8364,0.8415,0.8389
cleve,sick,139,112,26,27,0.8116,0.8058,0.8087
crx,+,307,272,60,35,0.8193,0.8860,0.8513
crx,-,383,323,35,60,0.9022,0.8433,0.8718
diabetes,positive,268,188,111,80,0.6288,0.7015,0.6631
diabetes,negative,500,389,80,111,0.8294,0.7780,0.8029
german,good,700,612,170,88,0.7826,0.8743,0.8259
german,bad,300,130,88,170,0.5963,0.4333,0.5019
glass,building_nonfloat,76,43,13,33,0.7679,0.5658,0.6515
glass,building_float,70,52,24,18,0.6842,0.7429,0.7123
glass,vehicle_float,17,3,10,14,0.2308,0.1765,0.2000
glass,headlamps,29,26,10,3,0.7222,0.8966,0.8000
glass,vehicle_nonfloat,13,11,4,2,0.7333,0.8462,0.7857
glass,containers,9,7,11,2,0.3889,0.7778,0.5185
heart,absent,150,129,21,21,0.8600,0.8600,0.8600
heart,present,120,99,21,21,0.8250,0.8250,0.8250
hepatitis,LIVE,123,107,12,16,0.8992,0.8699,0.8843
hepatitis,DIE,32,20,16,12,0.5556,0.6250,0.5882
horse,lived,232,189,25,43,0.8832,0.8147,0.8475
horse,died,136,111,43,25,0.7208,0.8162,0.7655
iris,Iris-setosa,50,50,1,0,0.9804,1.0000,0.9901
iris,Iris-virginica,50,44,0,6,1.0000,0.8800,0.9362
iris,Iris-versicolor,50,49,6,1,0.8909,0.9800,0.9333
labor,good,37,28,0,9,1.0000,0.7568,0.8615
labor,bad,20,20,9,0,0.6897,1.0000,0.8163
led7,5,22,11,3,11,0.7857,0.5000,0.6111
led7,1,24,20,3,4,0.8696,0.8333,0.8511
led7,7,20,20,3,0,0.8696,1.0000,0.9302
led7,9,23,11,6,12,0.6471,0.4783,0.5500
led7,4,24,20,12,4,0.6250,0.8333,0.7143
led7,3,17,12,7,5,0.6316,0.7059,0.6667
led7,2,17,16,4,1,0.8000,0.9412,0.8649
led7,8,21,7,6,14,0.5385,0.3333,0.4118
led7,0,15,15,9,0,0.6250,1.0000,0.7692
led7,6,17,12,3,5,0.8000,0.7059,0.7500
lymph,metastases,81,68,9,13,0.8831,0.8395,0.8608
lymph,malign_lymph,61,55,16,6,0.7746,0.9016,0.8333
lymph,fibrosis,4,0,0,4,0.0000,0.0000,0.0000
lymph,normal,2,0,0,2,0.0000,0.0000,0.0000
mushroom,p,3916,3764,5,152,0.9987,0.9612,0.9796
mushroom,e,4208,4203,152,5,0.9651,0.9988,0.9817
sonar,M,111,92,17,19,0.8440,0.8288,0.8364
sonar,R,97,80,19,17,0.8081,0.8247,0.8163
tic-tac-toe,positive,626,613,13,13,0.9792,0.9792,0.9792
tic-tac-toe,negative,332,319,13,13,0.9608,0.9608,0.9608
vehicle,van,199,196,94,3,0.6759,0.9849,0.8016
vehicle,bus,218,210,53,8,0.7985,0.9633,0.8732
vehicle,saab,217,105,83,112,0.5585,0.4839,0.5185
vehicle,opel,212,64,41,148,0.6095,0.3019,0.4038
waveform,class_0,1657,1291,237,366,0.8449,0.7791,0.8107
waveform,class_1,1647,1413,275,234,0.8371,0.8579,0.8474
waveform,class_2,1696,1491,293,205,0.8358,0.8791,0.8569
wine,class_2,71,64,1,7,0.9846,0.9014,0.9412
wine,class_3,48,48,4,0,0.9231,1.0000,0.9600
wine,class_1,59,58,3,1,0.9508,0.9831,0.9667
zoo,2,20,20,0,0,1.0000,1.0000,1.0000
zoo,1,41,40,2,1,0.9524,0.9756,0.9639
zoo,4,13,13,0,0,1.0000,1.0000,1.0000
zoo,7,10,9,1,1,0.9000,0.9000,0.9000
zoo,6,8,8,0,0,1.0000,1.0000,1.0000
zoo,5,4,3,1,1,0.7500,0.7500,0.7500
zoo,3,5,3,1,2,0.7500,0.6000,0.6667
