dataset,class,support,tp,fp,fn,precision,recall,f1
breast-w,benign,458,443,20,15,0.9568,0.9672,0.9620
breast-w,malignant,241,221,15,20,0.9364,0.9170,0.9266
cleve,healthy,164,138,27,26,0.8364,0.8415,0.8389
cleve,sick,139,112,26,27,0.8116,0.8058,0.8087
crx,+,307,270,58,37,0.8232,0.8795,0.8504
crx,-,383,325,37,58,0.8978,0.8486,0.8725
diabetes,positive,268,194,117,74,0.6238,0.7239,0.6701
diabetes,negative,500,383,74,117,0.8381,0.7660,0.8004
german,good,700,585,139,115,0.8080,0.8357,0.8216
german,bad,300,161,115,139,0.5833,0.5367,0.5590
glass,building_nonfloat,76,43,13,33,0.7679,0.5658,0.6515
glass,building_float,70,52,24,18,0.6842,0.7429,0.7123
glass,vehicle_float,17,3,10,14,0.2308,0.1765,0.2000
glass,headlamps,29,26,10,3,0.7222,0.8966,0.8000
glass,vehicle_nonfloat,13,11,4,2,0.7333,0.8462,0.7857
glass,containers,9,7,11,2,0.3889,0.7778,0.5185
heart,absent,150,129,21,21,0.8600,0.8600,0.8600
heart,present,120,99,21,21,0.8250,0.8250,0.8250
hepatitis,LIVE,123,108,12,15,0.9000,0.8780,0.8889
hepatitis,DIE,32,20,15,12,0.5714,0.6250,0.5970
horse,lived,232,188,25,44,0.8826,0.8103,0.8449
horse,died,136,111,44,25,0.7161,0.8162,0.7629
iris,Iris-setosa,50,50,1,0,0.9804,1.0000,0.9901
iris,Iris-virginica,50,44,0,6,1.0000,0.8800,0.9362
iris,Iris-versicolor,50,49,6,1,0.8909,0.9800,0.9333
labor,good,37,28,0,9,1.0000,0.7568,0.8615
labor,bad,20,20,9,0,0.6897,1.0000,0.8163
led7,5,22,11,3,11,0.7857,0.5000,0.6111
led7,1,24,20,3,4,0.8696,0.8333,0.8511
led7,7,20,20,3,0,0.8696,1.0000,0.9302
led7,9,23,11,6,12,0.6471,0.4783,0.5500
led7,4,24,20,12,4,0.6250,0.8333,0.7143
led7,3,17,12,7,5,0.6316,0.7059,0.6667
led7,2,17,16,4,1,0.8000,0.9412,0.8649
led7,8,21,7,6,14,0.5385,0.3333,0.4118
led7,0,15,15,9,0,0.6250,1.0000,0.7692
led7,6,17,12,3,5,0.8000,0.7059,0.7500
lymph,metastases,81,68,8,13,0.8947,0.8395,0.8662
lymph,malign_lymph,61,52,16,9,0.7647,0.8525,0.8062
lymph,fibrosis,4,0,4,4,0.0000,0.0000,0.0000
lymph,normal,2,0,0,2,0.0000,0.0000,0.0000
mushroom,p,3916,3772,5,144,0.9987,0.9632,0.9806
mushroom,e,4208,4203,144,5,0.9669,0.9988,0.9826
sonar,M,111,92,17,19,0.8440,0.8288,0.8364
sonar,R,97,80,19,17,0.8081,0.8247,0.8163
tic-tac-toe,positive,626,613,13,13,0.9792,0.9792,0.9792
tic-tac-toe,negative,332,319,13,13,0.9608,0.9608,0.9608
vehicle,van,199,196,89,3,0.6877,0.9849,0.8099
vehicle,bus,218,212,40,6,0.8413,0.9725,0.9021
vehicle,saab,217,110,72,107,0.6044,0.5069,0.5514
vehicle,opel,212,81,46,131,0.6378,0.3821,0.4779
waveform,class_0,1657,1283,214,374,0.8570,0.7743,0.8136
waveform,class_1,1647,1438,292,209,0.8312,0.8731,0.8516
waveform,class_2,1696,1493,280,203,0.8421,0.8803,0.8608
wine,class_2,71,64,1,7,0.9846,0.9014,0.9412
wine,class_3,48,48,4,0,0.9231,1.0000,0.9600
wine,class_1,59,58,3,1,0.9508,0.9831,0.9667
zoo,2,20,20,0,0,1.0000,1.0000,1.0000
zoo,1,41,40,2,1,0.9524,0.9756,0.9639
zoo,4,13,13,0,0,1.0000,1.0000,1.0000
zoo,7,10,9,1,1,0.9000,0.9000,0.9000
zoo,6,8,8,0,0,1.0000,1.0000,1.0000
zoo,5,4,3,1,1,0.7500,0.7500,0.7500
zoo,3,5,3,1,2,0.7500,0.6000,0.6667
