dataset,records,classes,minSupPct,accuracy,accStd,macroF1,macroF1Std,weightedF1
breast-w,699,2,0.02,0.9499,0.0234,0.9443,0.0262,0.9498
cleve,303,2,0.02,0.8252,0.0598,0.8238,0.0608,0.8250
crx,690,2,0.04,0.8626,0.0500,0.8614,0.0508,0.8627
diabetes,768,2,0.03,0.7513,0.0479,0.7353,0.0538,0.7549
german,1000,2,0.06,0.7460,0.0436,0.6903,0.0523,0.7428
glass,214,6,0.01,0.6611,0.1090,0.6113,0.1280,0.6582
heart,270,2,0.03,0.8444,0.0491,0.8425,0.0498,0.8444
hepatitis,155,2,0.05,0.8248,0.0724,0.7430,0.1310,0.8286
horse,368,2,0.03,0.8126,0.0388,0.8039,0.0352,0.8146
iris,150,3,0.03,0.9533,0.0521,0.9532,0.0540,0.9532
labor,57,2,0.05,0.8433,0.0539,0.8389,0.0545,0.8457
led7,200,10,0.03,0.7303,0.0823,0.7119,0.0795,0.7062
lymph,148,4,0.05,0.8132,0.0952,0.4167,0.2048,0.8034
mushroom,8124,2,0.15,0.9817,0.0051,0.9816,0.0051,0.9816
sonar,208,2,0.05,0.8252,0.0770,0.8263,0.0766,0.8270
tic-tac-toe,958,2,0.003,0.9729,0.0148,0.9700,0.0162,0.9729
vehicle,846,4,0.03,0.7076,0.0375,0.6853,0.0490,0.6842
waveform,5000,3,0.01,0.8428,0.0121,0.8420,0.0126,0.8421
wine,178,3,0.03,0.9552,0.0335,0.9559,0.0334,0.9547
zoo,101,7,0.03,0.9573,0.0569,0.8972,0.1122,0.9490
