dataset,records,classes,minSupPct,accuracy,accStd,macroF1,macroF1Std,weightedF1
breast-w,699,0.02,,0.9499,0.0224,0.9443,0.0250,0.9498
cleve,303,0.02,,0.7093,0.0495,0.6716,0.0653,0.6808
crx,690,0.04,,0.8439,0.0492,0.8394,0.0518,0.8422
diabetes,768,0.03,,0.7525,0.0561,0.7022,0.0761,0.7392
german,1000,0.06,,0.6960,0.0372,0.5880,0.0743,0.6724
glass,214,0.01,,0.5914,0.1006,0.5378,0.1331,0.5798
heart,270,0.03,,0.7556,0.0529,0.7333,0.0735,0.7419
hepatitis,155,0.05,,0.8318,0.0434,0.6996,0.1271,0.8168
horse,368,0.03,,0.8153,0.0733,0.8061,0.0721,0.8171
iris,150,0.03,,0.9600,0.0442,0.9599,0.0445,0.9599
labor,57,0.05,,0.8967,0.1716,0.8845,0.2170,0.8947
led7,200,0.03,,0.7247,0.0424,0.7172,0.0633,0.7134
lymph,148,0.05,,0.6772,0.0588,0.3379,0.1472,0.6561
mushroom,8124,0.15,,0.9124,0.0142,0.9110,0.0148,0.9114
sonar,208,0.05,,0.7215,0.0851,0.6920,0.1024,0.6984
tic-tac-toe,958,0.003,,0.8309,0.0240,0.7814,0.0382,0.8133
vehicle,846,0.03,,0.5177,0.0466,0.4822,0.0475,0.4792
waveform,5000,0.01,,0.6052,0.0327,0.5926,0.0392,0.5931
wine,178,0.03,,0.9160,0.0566,0.9187,0.0557,0.9161
zoo,101,0.03,,0.9258,0.1124,0.8370,0.1918,0.9170
