dataset,class,support,tp,fp,fn,precision,recall,f1
breast-w,benign,458,443,20,15,0.9568,0.9672,0.9620
breast-w,malignant,241,221,15,20,0.9364,0.9170,0.9266
cleve,healthy,164,159,83,5,0.6570,0.9695,0.7833
cleve,sick,139,56,5,83,0.9180,0.4029,0.5600
crx,+,307,236,37,71,0.8645,0.7687,0.8138
crx,-,383,346,71,37,0.8297,0.9034,0.8650
diabetes,negative,500,447,137,53,0.7654,0.8940,0.8247
diabetes,positive,268,131,53,137,0.7120,0.4888,0.5796
german,bad,300,92,96,208,0.4894,0.3067,0.3770
german,good,700,604,208,96,0.7438,0.8629,0.7989
glass,vehicle_float,17,4,4,13,0.5000,0.2353,0.3200
glass,building_float,70,33,8,37,0.8049,0.4714,0.5946
glass,building_nonfloat,76,64,67,12,0.4885,0.8421,0.6184
glass,containers,9,5,4,4,0.5556,0.5556,0.5556
glass,vehicle_nonfloat,13,5,2,8,0.7143,0.3846,0.5000
glass,headlamps,29,15,3,14,0.8333,0.5172,0.6383
heart,absent,150,141,57,9,0.7121,0.9400,0.8103
heart,present,120,63,9,57,0.8750,0.5250,0.6563
hepatitis,DIE,32,13,7,19,0.6500,0.4063,0.5000
hepatitis,LIVE,123,116,19,7,0.8593,0.9431,0.8992
horse,lived,232,190,26,42,0.8796,0.8190,0.8482
horse,died,136,110,42,26,0.7237,0.8088,0.7639
iris,Iris-versicolor,50,48,4,2,0.9231,0.9600,0.9412
iris,Iris-virginica,50,46,1,4,0.9787,0.9200,0.9485
iris,Iris-setosa,50,50,1,0,0.9804,1.0000,0.9901
labor,bad,20,17,3,3,0.8500,0.8500,0.8500
labor,good,37,34,3,3,0.9189,0.9189,0.9189
led7,0,15,14,8,1,0.6364,0.9333,0.7568
led7,1,24,20,3,4,0.8696,0.8333,0.8511
led7,2,17,14,6,3,0.7000,0.8235,0.7568
led7,3,17,13,5,4,0.7222,0.7647,0.7429
led7,4,24,20,10,4,0.6667,0.8333,0.7407
led7,5,22,13,3,9,0.8125,0.5909,0.6842
led7,6,17,12,3,5,0.8000,0.7059,0.7500
led7,7,20,18,3,2,0.8571,0.9000,0.8780
led7,8,21,9,6,12,0.6000,0.4286,0.5000
led7,9,23,11,9,12,0.5500,0.4783,0.5116
lymph,normal,2,0,0,2,0.0000,0.0000,0.0000
lymph,metastases,81,66,33,15,0.6667,0.8148,0.7333
lymph,malign_lymph,61,34,15,27,0.6939,0.5574,0.6182
lymph,fibrosis,4,0,0,4,0.0000,0.0000,0.0000
mushroom,p,3916,3204,0,712,1.0000,0.8182,0.9000
mushroom,e,4208,4208,712,0,0.8553,1.0000,0.9220
sonar,R,97,43,4,54,0.9149,0.4433,0.5972
sonar,M,111,107,54,4,0.6646,0.9640,0.7868
tic-tac-toe,negative,332,170,0,162,1.0000,0.5120,0.6773
tic-tac-toe,positive,626,626,162,0,0.7944,1.0000,0.8854
vehicle,bus,218,213,299,5,0.4160,0.9771,0.5836
vehicle,van,199,126,51,73,0.7119,0.6332,0.6702
vehicle,saab,217,53,36,164,0.5955,0.2442,0.3464
vehicle,opel,212,46,22,166,0.6765,0.2170,0.3286
waveform,class_0,1657,818,268,839,0.7532,0.4937,0.5964
waveform,class_2,1696,1567,1614,129,0.4926,0.9239,0.6426
waveform,class_1,1647,641,92,1006,0.8745,0.3892,0.5387
wine,class_2,71,67,10,4,0.8701,0.9437,0.9054
wine,class_1,59,52,4,7,0.9286,0.8814,0.9043
wine,class_3,48,44,1,4,0.9778,0.9167,0.9462
zoo,1,41,40,3,1,0.9302,0.9756,0.9524
zoo,2,20,20,0,0,1.0000,1.0000,1.0000
zoo,3,5,2,2,3,0.5000,0.4000,0.4444
zoo,4,13,13,0,0,1.0000,1.0000,1.0000
zoo,5,4,3,1,1,0.7500,0.7500,0.7500
zoo,6,8,8,2,0,0.8000,1.0000,0.8889
zoo,7,10,7,0,3,1.0000,0.7000,0.8235
